model,context,batch,mode,status,decode_tok_s_makespan,decode_tok_s_full_occupancy,full_occupancy_fraction,e2e_tok_s,step_ms,tokens_per_step,verify_ms,draft_ms,accept_ms,ctx_ms,cpu_and_sync_ms,peak_gib,peak_phase,target_kv_gib,draft_kv_gib,gdn_state_gib,tau,tau_pre_eos,tau_post_eos,speedup_same_b_makespan,speedup_same_b_full_occupancy,speedup_same_b_e2e
qwen3-8b,8192,2,dflash,ok,113.8,137.821,0.697806,68.886,47.0813,5.35785,37.5021,9.27706,0.176151,0.0978719,0.0281175,21.0018,prefill: target forward,2.3291,0.324135,0,3.20981,2.95231,3.4783,1.81077,2.19298,1.47931
qwen3-8b,8192,4,baseline,ok,113.611,113.611,1,69.4351,35.2078,4,35.06,0,0.113782,0,0.034055,22.6854,prefill: target forward,4.64941,0,0,,,,,,
qwen3-8b,8192,4,dflash,ok,164.977,228.097,0.507178,84.7374,55.8256,9.20993,45.0054,10.422,0.248595,0.122697,0.0269603,23.655,prefill: target forward,4.6582,0.64827,0,3.19244,2.9379,3.42572,1.45212,2.0077,1.22038
qwen3-8b,8192,8,baseline,ok,189.892,189.892,1,91.826,42.1292,8,41.9725,0,0.118544,0,0.0381035,27.3349,prefill: target forward,9.29883,0,0,,,,,,
qwen3-8b,8192,8,dflash,ok,247.794,369.219,0.404076,102.186,67.4807,16.7213,55.5928,11.3569,0.38122,0.119152,0.0305723,28.9615,prefill: target forward,9.31641,1.29654,0,3.13401,2.99593,3.25316,1.30492,1.94436,1.11283
qwen3-8b,8192,16,baseline,ok,284.656,284.656,1,109.369,56.2082,16,56.0285,0,0.139017,0,0.0406315,36.6337,prefill: target forward,18.5977,0,0,,,,,,
qwen3-8b,8192,16,dflash,ok,264.707,403.095,0.37325,104.961,125.822,33.3061,105.879,19.1385,0.642533,0.125166,0.0373311,39.5744,prefill: target forward,18.6328,2.59308,0,3.19822,3.01154,3.36291,0.92992,1.41608,0.959689
qwen3-8b,8192,32,baseline,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3-8b,8192,32,dflash,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3-8b,16384,1,baseline,ok,30.2875,30.2875,1,21.8303,33.0169,1,32.8444,0,0.144805,0,0.0277612,21.1418,prefill: target forward,2.28735,0,0,,,,,,
qwen3-8b,16384,1,dflash,ok,50.7534,50.7534,1,30.4479,51.1378,2.59542,42.909,7.95295,0.14877,0.0998722,0.0272429,22.0873,prefill: target forward,2.28955,0.318317,0,2.62754,2.23282,3.13015,1.67572,1.67572,1.39475
qwen3-8b,16384,2,baseline,ok,55.0032,55.0032,1,32.1544,36.3615,2,36.1817,0,0.148585,0,0.0312853,23.4292,prefill: target forward,4.57471,0,0,,,,,,
qwen3-8b,16384,2,dflash,ok,71.5045,86.7178,0.661572,36.7205,61.1897,4.37534,48.6447,12.1848,0.222551,0.0996283,0.0380233,24.6952,prefill: target forward,4.5791,0.636635,0,2.66355,2.28204,3.10909,1.30001,1.5766,1.14201
qwen3-8b,16384,4,baseline,ok,92.8759,92.8759,1,41.9486,43.0682,4,42.8803,0,0.153348,0,0.034518,28.0039,prefill: target forward,9.14941,0,0,,,,,,
qwen3-8b,16384,4,dflash,ok,102.084,136.555,0.45578,43.4109,78.0605,7.96875,63.5398,14.0685,0.292942,0.122105,0.0372216,29.9109,prefill: target forward,9.1582,1.27327,0,2.68569,2.26872,3.22024,1.09915,1.47029,1.03486
qwen3-8b,16384,8,baseline,ok,140.332,140.332,1,49.505,57.0077,8,56.8122,0,0.156119,0,0.0393451,37.1533,prefill: target forward,18.2988,0,0,,,,,,
qwen3-8b,16384,8,dflash,ok,141.979,203.84,0.345446,49.2572,99.4344,14.1176,83.2498,15.5983,0.425769,0.121869,0.038708,40.3424,prefill: target forward,18.3164,2.54654,0,2.68358,2.30269,3.15947,1.01174,1.45255,0.994996
qwen3-8b,16384,16,baseline,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3-8b,16384,16,dflash,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3-8b,32768,1,baseline,ok,28.0561,28.0561,1,14.6622,35.6429,1,35.4868,0,0.128171,0,0.02792,25.0286,prefill: target forward,4.53735,0,0,,,,,,
qwen3-8b,32768,1,dflash,ok,29.3875,29.3875,1,14.8593,65.7828,1.93319,56.9078,8.59971,0.148715,0.0989325,0.0275786,26.9117,prefill: target forward,4.53955,0.630817,0,1.95025,1.47687,1.98401,1.04746,1.04746,1.01344
qwen3-8b,32768,2,baseline,ok,46.2507,46.2507,1,18.3413,43.2426,2,43.0673,0,0.143734,0,0.0315723,29.566,prefill: target forward,9.07471,0,0,,,,,,
qwen3-8b,32768,2,dflash,ok,41.4777,47.0412,0.763194,17.426,82.4528,3.41995,65.4597,16.6397,0.21641,0.0985338,0.0384085,32.082,prefill: target forward,9.0791,1.26163,0,1.95159,1.48214,1.985,0.896801,1.01709,0.950096
qwen3-8b,32768,4,baseline,ok,71.3989,71.3989,1,21.2887,56.0233,4,55.8414,0,0.14862,0,0.0331842,38.6407,prefill: target forward,18.1494,0,0,,,,,,
qwen3-8b,32768,4,dflash,ok,55.0066,65.3791,0.672459,19.4327,114.288,6.28659,93.9847,19.8449,0.286507,0.131011,0.0409348,42.4228,prefill: target forward,18.1582,2.52327,0,1.91211,1.47331,1.94279,0.770412,0.915688,0.912815
qwen3-8b,32768,8,baseline,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3-8b,32768,8,dflash,oom,,,,,,,,,,,,,,,,,,,,,,
qwen3.5-9b,4096,1,baseline,ok,24.7773,24.7773,1,22.4235,40.3595,1,38.6784,0,1.66121,0,0.0198586,20.1265,prefill: target forward,0.133301,0,0.0483398,,,,,,
qwen3.5-9b,4096,1,dflash,ok,37.2786,37.2786,1,32.0328,111.056,4.14003,72.0094,10.0634,29.3949,0.11181,-0.523026,20.4465,prefill: target forward,0.133789,0.100731,0.0483398,4.19584,3.66393,4.60251,1.50455,1.50455,1.42854
qwen3.5-9b,4096,2,baseline,ok,50.2875,50.2875,1,41.3028,39.7713,2,38.0606,0,1.71524,0,-0.00455708,20.3082,prefill: target forward,0.266602,0,0.0966797,,,,,,
qwen3.5-9b,4096,2,dflash,ok,66.6371,74.6879,0.80419,51.3757,113.384,7.55556,71.9433,10.4916,31.2638,0.112469,-0.427581,20.7294,prefill: target forward,0.267578,0.201462,0.0966797,4.25681,3.81068,4.58415,1.32512,1.48522,1.24388
qwen3.5-9b,4096,4,baseline,ok,100.728,100.728,1,69.9031,39.7107,4,37.1627,0,2.556,0,-0.00798385,20.6715,prefill: target forward,0.533203,0,0.193359,,,,,,
qwen3.5-9b,4096,4,dflash,ok,109.611,142.847,0.61913,73.4585,116.503,12.77,72.367,11.3639,32.9528,0.144017,-0.324809,21.2951,prefill: target forward,0.535156,0.402924,0.193359,4.14585,3.59039,4.57624,1.08818,1.41814,1.05086
qwen3.5-9b,4096,8,baseline,ok,184.977,184.977,1,101.934,43.2487,8,39.2906,0,3.97152,0,-0.0134367,21.398,prefill: target forward,1.06641,0,0.386719,,,,,,
qwen3.5-9b,4096,8,dflash,ok,200.603,276.655,0.505527,105.277,120.347,24.142,72.5674,12.3101,35.6481,0.137607,-0.315745,22.4265,prefill: target forward,1.07031,0.805847,0.386719,4.20336,3.63763,4.64376,1.08448,1.49562,1.0328
qwen3.5-9b,4096,16,baseline,ok,293.667,293.667,1,127.68,54.4834,16,47.7265,0,6.78125,0,-0.0242581,22.8512,prefill: target forward,2.13281,0,0.773438,,,,,,
qwen3.5-9b,4096,16,dflash,ok,294.329,427.944,0.448487,126.34,154.883,45.5866,97.3608,19.8308,37.9488,0.065162,-0.322551,24.9756,decode: accept/rollback,2.14062,1.61169,0.773438,4.2069,3.60784,4.67692,1.00225,1.45724,0.989506
qwen3.5-9b,4096,32,baseline,ok,405.303,405.303,1,145.035,78.9533,32,66.5899,0,12.4082,0,-0.0448372,26.597,decode: target verify,4.26562,0,1.54688,,,,,,
qwen3.5-9b,4096,32,dflash,ok,377.738,534.35,0.401883,139.526,245.48,92.7273,164.553,33.8758,47.344,0.0972509,-0.389704,30.8581,decode: accept/rollback,4.28125,3.22339,1.54688,4.24603,3.75718,4.61256,0.931989,1.3184,0.962012
qwen3.5-9b,8192,1,baseline,ok,24.4599,24.4599,1,20.2287,40.8832,1,39.2242,0,1.63886,0,0.0201195,21.099,prefill: target forward,0.258301,0,0.0483398,,,,,,
