model,context,batch,phase,seconds,bytes,flops,intensity,gbps,tflops,bw_fraction,compute_fraction,weight_bytes,kv_bytes,gdn_bytes,gemm_flops,attention_flops,verdict,draft_context_columns
qwen3.5-9b,16384,16,dflash verify,0.0991265,2.6454e+10,4.64018e+12,175.406,266.871,46.8107,0.370755,0.35497,1.58734e+10,8.66543e+09,1.66094e+09,4.06358e+12,5.54051e+11,below both roofs (kernel/launch),
qwen3.5-9b,16384,16,dflash draft,0.0253915,7.29129e+09,1.28969e+12,176.88,287.155,50.792,0.398934,0.385161,,,,,,below both roofs (kernel/launch),9.06091
qwen3.5-9b,16384,32,baseline verify,0.0597247,3.65422e+10,5.80023e+11,15.8727,611.844,9.7116,0.850013,0.0736441,1.58734e+10,1.73151e+10,3.32189e+09,5.07948e+11,6.92563e+10,HBM-bound,
qwen3.5-9b,32768,1,baseline verify,0.0349086,1.70561e+10,2.02732e+10,1.18862,488.594,0.58075,0.678786,0.00440389,1.58734e+10,1.07797e+09,1.03809e+08,1.58734e+10,4.31174e+09,below both roofs (kernel/launch),
qwen3.5-9b,32768,1,dflash verify,0.0487927,1.70715e+10,3.24371e+11,19.0007,349.879,6.64794,0.486074,0.050412,1.58734e+10,1.07846e+09,1.03809e+08,2.53974e+11,6.89879e+10,below both roofs (kernel/launch),
qwen3.5-9b,32768,1,dflash draft,0.0102626,4.85188e+09,8.29092e+10,17.0881,472.774,8.07878,0.656808,0.0612622,,,,,,below both roofs (kernel/launch),3.66637
qwen3.5-9b,32768,2,baseline verify,0.0350548,1.82389e+10,4.05464e+10,2.22307,520.297,1.15666,0.72283,0.00877104,1.58734e+10,2.15594e+09,2.07618e+08,3.17467e+10,8.62349e+09,HBM-bound,
qwen3.5-9b,32768,2,dflash verify,0.0468906,1.82697e+10,6.48742e+11,35.5092,389.624,13.8352,0.54129,0.104914,1.58734e+10,2.15692e+09,2.07618e+08,5.07948e+11,1.37976e+11,below both roofs (kernel/launch),
qwen3.5-9b,32768,2,dflash draft,0.0118747,5.08589e+09,1.66809e+11,32.7985,428.297,14.0475,0.595018,0.106524,,,,,,below both roofs (kernel/launch),5.00888
qwen3.5-9b,32768,4,baseline verify,0.0358826,2.06045e+10,8.10928e+10,3.93569,574.219,2.25995,0.797743,0.0171374,1.58734e+10,4.31188e+09,4.15236e+08,6.34935e+10,1.7247e+10,HBM-bound,
qwen3.5-9b,32768,4,dflash verify,0.0462599,2.0666e+10,1.29748e+12,62.7835,446.738,28.0477,0.620637,0.212689,1.58734e+10,4.31384e+09,4.15236e+08,1.0159e+12,2.75952e+11,below both roofs (kernel/launch),
qwen3.5-9b,32768,4,dflash draft,0.0136328,5.55412e+09,3.35787e+11,60.4572,407.407,24.6307,0.565997,0.186777,,,,,,below both roofs (kernel/launch),6.47714
qwen3.5-9b,32768,8,baseline verify,0.0422546,2.53355e+10,1.62186e+11,6.4015,599.592,3.83829,0.832992,0.0291062,1.58734e+10,8.62375e+09,8.30472e+08,1.26987e+11,3.4494e+10,HBM-bound,
qwen3.5-9b,32768,8,dflash verify,0.0638428,2.54587e+10,2.59497e+12,101.929,398.771,40.6462,0.553999,0.308225,1.58734e+10,8.62768e+09,8.30472e+08,2.03179e+12,5.51903e+11,below both roofs (kernel/launch),
qwen3.5-9b,32768,8,dflash draft,0.0166517,6.49109e+09,6.76665e+11,104.245,389.816,40.6365,0.541558,0.308151,,,,,,below both roofs (kernel/launch),8.20166
qwen3.5-9b,32768,16,baseline verify,0.0551146,3.47977e+10,3.24371e+11,9.32162,631.37,5.88539,0.87714,0.0446295,1.58734e+10,1.72475e+10,1.66094e+09,2.53974e+11,6.89879e+10,HBM-bound,
