model,context_length,mode,num_devices,phase,phase_index,is_peak_phase,mean_occurrences_per_sample,peak_interval_label,mean_interval_peak_gb,max_interval_peak_gb,peak_allocated_before_gb,peak_allocated_after_gb,peak_transient_gb,peak_unattributed_gb,target_weight_gb,target_kv_gb,draft_weight_gb,draft_kv_gb,selected_hidden_gb,context_feature_gb
qwen3-8b,16384,dflash,1,decode: draft logits,8,False,86.531,decode: draft logits,19.9567,20.4153,20.4068,20.411,0.0042,0.0176,15.2564,2.2501,1.9532,0.3128,0.0,0.625
qwen3-8b,16384,dflash,1,decode: target verify,9,False,86.531,decode: target verify,20.2039,20.6658,20.411,20.4181,0.2477,0.2653,15.2564,2.2523,1.9532,0.3128,0.0006,0.625
qwen3-8b,16384,dflash,1,decode: verify rollback/crop,10,False,86.531,decode: verify rollback/crop,19.951,20.4181,20.4181,20.4181,0.0,0.0176,15.2564,2.2523,1.9532,0.3128,0.0006,0.625
qwen3-8b,16384,dflash,1,decode: context-feature build,11,False,86.531,decode: context-feature build,19.9516,20.4187,20.4181,19.7936,0.0006,0.6426,15.2564,2.2523,1.9532,0.3128,0.0006,0.0006
qwen3-8b,16384,baseline,1,prefill: target forward,0,True,1,target layer 35,21.101,21.1013,17.2182,19.4687,1.6326,1.6415,15.2564,2.2501,1.9532,0.0,0.0,0.0
qwen3-8b,16384,baseline,1,prefill: first token,2,False,1,prefill: first token,19.4685,19.4687,19.4687,19.4687,0.0,0.0089,15.2564,2.2501,1.9532,0.0,0.0,0.0
qwen3-8b,16384,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,19.4685,19.4687,19.4687,19.4687,0.0,0.0089,15.2564,2.2501,1.9532,0.0,0.0,0.0
qwen3-8b,16384,baseline,1,decode: target verify,9,False,217.469,decode: target verify,19.515,19.571,19.5386,19.5387,0.0323,0.0411,15.2564,2.3202,1.9532,0.0,0.0,0.0
qwen3-8b,16384,baseline,1,decode: verify rollback/crop,10,False,217.469,decode: verify rollback/crop,19.4835,19.5387,19.5387,19.5387,0.0,0.0089,15.2564,2.3202,1.9532,0.0,0.0,0.0
qwen3-8b,32768,dflash,1,prefill: target forward,0,True,1,target layer 35,26.2345,26.2347,17.2188,22.9693,3.2654,3.2749,15.2564,4.5001,1.9532,0.0,1.25,0.0
qwen3-8b,32768,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,24.2191,24.2193,22.9693,22.9693,1.25,2.5095,15.2564,4.5001,1.9532,0.0,0.0,0.0
qwen3-8b,32768,dflash,1,prefill: first token,2,False,1,prefill: first token,22.9691,22.9693,22.9693,22.9693,0.0,1.2595,15.2564,4.5001,1.9532,0.0,0.0,0.0
